id,tipo,url
59,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97065&tipo=0
60,foto,http://www.camara.gov.br/internet/deputado/bandep/73451.jpg
60,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97075&tipo=0
61,foto,http://www.camara.gov.br/internet/deputado/bandep/73441.jpg
61,politicosorg,http://www.politicos.org.br/celso-ubirajara-russomanno
61,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97082&tipo=0
61,wiki,pt.wikipedia.org/wiki/Celso_Russomanno
62,foto,http://www.camara.gov.br/internet/deputado/bandep/74195.jpg
62,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97088&tipo=0
63,foto,http://www.camara.gov.br/internet/deputado/bandep/74313.jpg
63,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97093&tipo=0
63,wiki,pt.wikipedia.org/wiki/Ciro_Nogueira
64,foto,http://www.camara.gov.br/internet/deputado/bandep/74537.jpg
64,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97101&tipo=0
65,foto,http://www.camara.gov.br/internet/deputado/bandep/74527.jpg
65,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97109&tipo=0
65,wiki,pt.wikipedia.org/wiki/José_Cleonâncio_da_Fonseca
66,foto,http://www.camara.gov.br/internet/deputado/bandep/74097.jpg
66,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97118&tipo=0
67,veja,http://veja.abril.com.br/infograficos/rede-escandalos/perfil/coriolano-sales.shtml?scrollto=conteudo-rede
67,foto,http://www.camara.gov.br/internet/deputado/bandep/74538.jpg
67,politicosorg,http://www.politicos.org.br/coriolano-sales
67,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97124&tipo=0
67,wiki,pt.wikipedia.org/wiki/Coriolano_Sales
68,foto,http://www.camara.gov.br/internet/deputado/bandep/73443.jpg
68,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97128&tipo=0
69,foto,http://www.camara.gov.br/internet/deputado/bandep/74654.jpg
69,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97135&tipo=0
70,foto,http://www.camara.gov.br/internet/deputado/bandep/74187.jpg
70,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97143&tipo=0
71,foto,http://www.camara.gov.br/internet/deputado/bandep/73891.jpg
71,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97149&tipo=0
72,foto,http://www.camara.gov.br/internet/deputado/bandep/73445.jpg
72,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97155&tipo=0
73,foto,http://www.camara.gov.br/internet/deputado/bandep/73768.jpg
73,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97160&tipo=0
73,wiki,pt.wikipedia.org/wiki/Dilceu_Sperafico
74,foto,http://www.camara.gov.br/internet/deputado/bandep/73446.jpg
74,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97167&tipo=0
75,foto,http://www.camara.gov.br/internet/deputado/bandep/73794.jpg
75,politicosorg,http://www.politicos.org.br/edison-adriao-andrino-de-oliveira
75,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97175&tipo=0
75,wiki,pt.wikipedia.org/wiki/Edison_Andrino
76,foto,http://www.camara.gov.br/internet/deputado/bandep/73793.jpg
76,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97182&tipo=0
77,foto,http://www.camara.gov.br/internet/deputado/bandep/73447.jpg
77,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97190&tipo=0
78,foto,http://www.camara.gov.br/internet/deputado/bandep/74193.jpg
78,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97197&tipo=0
79,veja,http://veja.abril.com.br/infograficos/rede-escandalos/perfil/eduardo-campos.shtml?scrollto=conteudo-rede
79,foto,http://www.camara.gov.br/internet/deputado/bandep/74416.jpg
79,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97202&tipo=0
79,wiki,pt.wikipedia.org/wiki/Eduardo_Campos
80,foto,http://www.camara.gov.br/internet/deputado/bandep/73448.jpg
80,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97209&tipo=0
81,foto,http://www.camara.gov.br/internet/deputado/bandep/74655.jpg
81,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97219&tipo=0
82,veja,http://veja.abril.com.br/infograficos/rede-escandalos/perfil/efraim-morais.shtml?scrollto=conteudo-rede
82,foto,http://www.camara.gov.br/internet/deputado/bandep/74407.jpg
82,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97227&tipo=0
83,veja,http://veja.abril.com.br/infograficos/rede-escandalos/perfil/elcione-barbalho.shtml?scrollto=conteudo-rede
83,foto,http://www.camara.gov.br/internet/deputado/bandep/74075.jpg
83,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97234&tipo=0
84,foto,http://www.camara.gov.br/internet/deputado/bandep/74198.jpg
84,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97239&tipo=0
85,foto,http://www.camara.gov.br/internet/deputado/bandep/74657.jpg
85,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97245&tipo=0
86,foto,http://www.camara.gov.br/internet/deputado/bandep/73980.jpg
86,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97251&tipo=0
87,veja,http://veja.abril.com.br/infograficos/rede-escandalos/perfil/enivaldo-ribeiro.shtml?scrollto=conteudo-rede
87,foto,http://www.camara.gov.br/internet/deputado/bandep/74408.jpg
87,politicosorg,http://www.politicos.org.br/enivaldo-ribeiro
87,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97259&tipo=0
87,wiki,pt.wikipedia.org/wiki/Enivaldo_Ribeiro
88,foto,http://www.camara.gov.br/internet/deputado/bandep/74540.jpg
88,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97266&tipo=0
89,foto,http://www.camara.gov.br/internet/deputado/bandep/73894.jpg
89,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97272&tipo=0
90,foto,http://www.camara.gov.br/internet/deputado/bandep/74541.jpg
90,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97279&tipo=0
