id,camaraPk,cargos,codinomes,curriculo,foto,legislaturas,nome,profissoes,senadoId,uf
1449,174598,,Dr. Paulo César,,http://www.camara.gov.br/internet/deputado/bandep/147975.jpg,53.54,Paulo César da Guia Almeida,Médico e Professor,,
1450,175060,,Professor Victório Galli,,http://www.camara.gov.br/internet/deputado/bandep/148134.jpg,"53,54,55",Victório Galli Filho,Professor,,
1451,175565,,Walter Brito Neto,,http://www.camara.gov.br/internet/deputado/bandep/148295.jpg,53,Walter Correia de Brito Neto,Superior Incompleto,,
1452,178173,,Saturnino Masson,,http://www.camara.gov.br/internet/deputado/bandep/149293.jpg,53,Saturnino Masson,Comerciante,,
1453,178182,,Major Fábio,,http://www.camara.gov.br/internet/deputado/bandep/149327.jpg,53.54,Fábio Rodrigues de Oliveira,Policial Militar,,
1454,178802,,Luiz Carlos Ramos,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Luiz Carlos Ramos,,,
1455,178825,,Leo De Brito,,,55,Leonardo Cunha de Brito,"Advogado(a),professor de Direito",,
1456,178826,,Major Olimpio,,,55,Sergio Olimpio Gomes,,,
1457,178828,,Evandro Gussi,,,55,Evandro Herrera Bertone Gussi,"Advogado(a),professor Universitário",,
1458,178829,,Capitão Augusto,,,55,Jose Augusto Rosa,Policial Militar,,
1459,178831,,André Abdon,,,55,Andre Dos Santos Abdon,Engenheiro Florestal,,
1460,178832,,Leandre,,,55,Leandre Dal Ponte,Engenheira Civil,,
1461,178833,,Alexandre Serfiotis,,,55,Alexandre Augustus Serfiotis,Médico(a),,
1462,178836,,Alan Rick,,,55,Alan Rick Miranda,"Administrador de Empresas,jornalista",,
1463,178837,,Angelim,,,55,Raimundo Angelim Vasconcelos,Economista,,
1464,178838,,César Messias,,,55,Carlos Cesar Correia de Messias,Pecuarista,,
1465,178839,,Jéssica Sales,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Jessica Rojas Sales,,,
1466,178840,,Rocha,,,55,Wherles Fernandes da Rocha,"Bacharel Em Direito,jornalista,oficial da Polícia Militar",,
1467,178841,,Cícero Almeida,,,55,José Cícero Soares de Almeida,"Cantor,radialista,repórter",,
1468,178842,,Jhc,,,55,Joao Henrique Holanda Caldas,,,
1469,178843,,Marx Beltrão,,,55,Marx Beltrão Lima Siqueira,,,
1470,178844,,Pedro Vilela,,,55,Pedro Torres Brandão Vilela,,,
1471,178845,,Ronaldo Lessa,,,55,Ronaldo Augusto Lessa Santos,Engenheiro Civil,,
1472,178846,,Alfredo Nascimento,,,55,Alfredo Pereira do Nascimento,,,
1473,178847,,Arthur Virgílio Bisneto,,,55,Arthur Virgilio do Carmo Ribeiro Bisneto,Político,,
1474,178848,,Conceição Sampaio,,,55,Maria da Conceicao Sampaio Moura,,,
1475,178849,,Hissa Abrahão,,,55,Hissa Nagib Abrahao Filho,Comerciante,,
1476,178850,,Marcos Rotta,,,55,Marcos Sergio Rotta,"Jornalista,publicitário",,
1477,178852,,Marcos Reategui,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Marcos Jose Reategui Souza,,,
1478,178853,,Caetano,,,55,Luiz Carlos Caetano,Farmacêutico Bioquímico,,
1479,178854,,Elmar Nascimento,,,55,Elmar Jose Vieira Nascimento,Advogado(a),,
1480,178855,,,"Arquivo 7, p. 4",,,Antonio Lazaro Silva,,,
1481,178856,,João Gualberto,,,55,Joao Gualberto Vasconcelos,,,
1482,178857,,Jorge Solla,,,55,Jorge Jose Santos Pereira Solla,Médico(a),,
1483,178858,,Mário Negromonte Jr.,,,55,Mario Silvio Mendes Negromonte Junior,Bacharel Em Direito,,
1484,178859,,Moema Gramacho,,,55,Moema Isabel Passos Gramacho,,,
1485,178860,,Paulo Azi,,,55,Paulo Velloso Dantas Azi,"Administrador de Empresas,engenheiro Civil",,
1486,178861,,Ronaldo Carletto,,,55,Ronaldo Carletto,Empresário de Transporte,,
1487,178862,,Tia Eron,,,55,Eronildes Vasconcelos Carvalho,,,
1488,178863,,Uldurico Junior,,,55,Uldurico Alencar Pinto,Estudante Universitário,,
1489,178864,,Adail Carneiro,,,55,Jose Adail Carneiro Silva,,,
1490,178865,,Cabo Sabino,,,55,Flavio Alves Sabino,Corretor de Imóveis,,
1491,178866,,Luizianne Lins,,,55,Luizianne de Oliveira Lins,Professora Universitária,,CE
1492,178867,,Macedo,,,55,Jose Maria Macedo Junior,Empresário,,
1493,178868,,Odorico Monteiro,,,55,Luiz Odorico Monteiro de Andrade,Médico(a),,
1494,178869,,Vitor Valim,,,55,Vitor Pereira Valim,,,
1495,178870,,Rôney Nemer,Absteve-se na cassação de Eduardo Cunha,,55,Rôney Tanios Nemer,Servidor Público Estadual,,
1496,178871,,Evair Vieira De Melo,,,55,Evair Vieira de Melo,,,
1497,178872,,Givaldo Vieira,,,55,Givaldo Vieira da Silva,Advogado(a),,
1498,178873,,Helder Salomão,,,55,Helder Ignacio Salomao,Professor(a),,
1499,178874,,Sergio Vidigal,,,55,Antonio Sergio Alves Vidigal,,,
1500,178875,,Alexandre Baldy,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Alexandre Baldy de Sant'Anna Braga,,,
1501,178876,,Célio Silveira,,,55,Celio Antonio da Silveira,Médico(a),,
1502,178877,,Fábio Sousa,,,55,Fabio Fernandes de Sousa,"Apresentador de Televisão,gestor Público,pastor,radialista",,
1503,178878,,Giuseppe Vecci,,,55,Giuseppe Vecci,Economista,,
1504,178879,,Lucas Vergilio,,,55,Lucas de Castro Santos,"Administrador de Empresas,corretor de Seguros",,
1505,178880,,Marcos Abrão,,,55,Marcos Abrao Roriz Soares de Carvalho,"Economista,empresário Na Área Pecuarista",,
1506,178881,,Aluisio Mendes,,,55,Aluisio Guimaraes Mendes Filho,Funcionário Público Federal,,
1507,178882,,,"Arquivo 7, p. 4",,,Andre Luiz Carvalho Ribeiro,,,
1508,178883,,Eliziane Gama,,,55,Eliziane Pereira Gama Ferreira,,,
1509,178884,,Hildo Rocha,,,55,Hildo Augusto da Rocha Neto,,,
1510,178885,,Junior Marreca,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Antonio da Cruz Filgueira Junior,Advogado(a),,
1511,178886,,Juscelino Filho,,,55,Jose Juscelino Dos Santos Rezende Filho,"Empresário,médico(a)",,
1512,178887,,Rubens Pereira Júnior,,,55,Rubens Pereira E Silva Junior,Advogado(a),,
1513,178888,,Victor Mendes,,,55,Carlos Victor Guterres Mendes,Advogado(a),,
1514,178889,,,"Arquivo 7, p. 4",,,Jose Carlos Nunes Junior,,,
1515,178890,,Adelmo Carneiro Leão,,,55,Adelmo Carneiro Leao,Professor(a),,
1516,178891,,Caio Narcio,,,55,Caio Narcio Rodrigues da Silveira,,,
1517,178892,,Dâmina Pereira,Votou contra a cassação de Eduardo Cunha,,55,Damina de Carvalho Pereira,,,
1518,178894,,Laudivio Carvalho,,,55,Laudivio Alvarenga Carvalho,Jornalista,,
1519,178895,,Misael Varella,,,55,Misael Artur Ferreira Varella,Empresário,,
1520,178896,,Newton Cardoso Jr,,,55,Newton Cardoso Junior,,,
1521,178897,,Rodrigo Pacheco,,,55,Rodrigo Otavio Soares Pacheco,Advogado(a),,
1522,178898,,Tenente Lúcio,,,55,Sergio Lucio de Almeida,,,
1523,178899,,,"Arquivo 7, p. 4",,,Marcio Campos Monteiro,,,
1524,178900,,Carlos Marun,,,55,Carlos Eduardo Xavier Marun,"Advogado(a),engenheiro Civil",,MS
1525,178901,,Tereza Cristina,,,55,Tereza Cristina Correa da Costa Dias,,,
1526,178902,,Zeca Do Pt,,,55,Jose Orcirio Miranda Dos Santos,Bancário,,
1527,178903,,Adilton Sachetti,,,55,Adilton Domingos Sachetti,Arquiteto,,
1528,178904,,Ezequiel Fonseca,,,55,Ezequiel Angelo Fonseca,Professor de Matemática,,
1529,178905,,Fabio Garcia,,,55,Fabio Paulino Garcia,Engenheiro Civil,,
1530,178906,,Beto Salame,,,55,Roberto Salame Filho,,,
1531,178907,,Francisco Chapadinha,,,55,Francisco Alves de Aguiar,Empresário,,
1532,178908,,Delegado Éder Mauro,,,55,Eder Mauro Cardoso Barra,,,
1533,178909,,Hélio Leite,,,55,Helio Leite da Silva,Corretor de Imóveis,,
1534,178910,,Joaquim Passarinho,,,55,Joaquim Passarinho Pinto de Souza Porto,Arquiteto,,
1535,178911,,Simone Morgado,,,55,Simone Maria Morgado Ferreira,,,
1536,178912,,Pedro Cunha Lima,,,55,Pedro Oliveira Cunha Lima,Advogado(a),,
1537,178913,,Veneziano Vital Do Rêgo,"Arquivo 7, p. 4",,55,Veneziano Vital do Rêgo Segundo Neto,Advogado(a),,
1538,178914,,Adalberto Cavalcanti,,,55,Adalberto Cavalcanti Rodrigues,Administrador de Empresas,,
1539,178915,,Betinho Gomes,,,55,Heberte Lamarck Gomes da Silva,Engenheiro Agrônomo,,
1540,178917,,João Fernando Coutinho,,,55,Joao Fernando Pontual Coutinho,,,
1541,178918,,Kaio Maniçoba,,,55,Kaio Cesar de Moura Manicoba Novaes Ferraz,,,
1542,178919,,Marinaldo Rosendo,,,55,Marinaldo Rosendo de Albuquerque,Empresário,,
1543,178920,,Ricardo Teobaldo,,,55,Ricardo Teobaldo Cavalcanti,,,
1544,178921,,,"Arquivo 7, p. 4",,,Sebastiao Ignacio de Oliveira Junior,,,
1545,178922,,Tadeu Alencar,,,55,Francisco Tadeu Barbosa de Alencar,Procurador,,
1546,178923,,Zeca Cavalcanti,,,55,Jose Cavalcanti Alves Junior,,,
1547,178924,,,"Arquivo 7, p. 4",,,Fabio Abreu Costa,,,
1548,178925,,,"Arquivo 7, p. 4",,,Rejane Ribeiro Sousa Dias,,,
1549,178926,,Rodrigo Martins,,,55,Rodrigo Rodrigues de Souza Martins,Cirurgião-dentista,,
1550,178927,,Aliel Machado,,,55,Aliel Machado Bark,,,
1551,178928,,Christiane De Souza Yared,,,55,Christiane de Souza Yared,,,
1552,178929,,Diego Garcia,,,55,Diego Alexsander Goncalo Paula Garcia,Autônomo,,
1553,178930,,Evandro Roman,,,55,Evandro Rogerio Roman,Professor de Educação Física,,
1554,178931,,Luciano Ducci,"Arquivo 7, p. 6",,55,Luciano Ducci,Médico(a),,
1555,178932,,Marcelo Belinati,,,55,Marcelo Belinati Martins,"Advogado(a),médico(a)",,
1556,178933,,Sergio Souza,,,55,Sergio de Souza,Advogado(a),,
1557,178934,,Toninho Wandscheer,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Antonio Wandscheer,Engenheiro Civil,,
1558,178935,,,"Arquivo 7, p. 4",,,Valdir Luiz Rossoni,,,
1559,178936,,Alexandre Valle,,,55,Alexandre Valle Cardoso,,,
1560,178937,,Altineu Côrtes,,,55,Altineu Côrtes Freitas Coutinho,Empresário,,
1561,178938,,Cabo Daciolo,,,55,Benevenuto Daciolo Fonseca Dos Santos,Militar,,
1562,178939,,Clarissa Garotinho,,,55,Clarissa Barros Assed Matheus de Oliveira,,,
1563,178940,,Dr. João,,,55,Joao Ferreira Neto,Médico(a),,
1564,178941,,Ezequiel Teixeira,,,55,Ezequiel Cortaz Teixeira,Advogado(a),,
1565,178942,,,"Arquivo 7, p. 4",,,Marco Antonio Neves Cabral,,,
1566,178943,,Marcos Soares,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Marcos Bezerra Ribeiro Soares,Advogado(a),,
1567,178944,,Roberto Sales,,,55,Roberto da Silva Sales,"Administrador,corretor de Imóveis",,
1568,178945,,Rosangela Gomes,,,55,Rosangela de Souza Gomes,Bacharela Em Direito,,
1569,178946,,Soraya Santos,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Soraya Alencar Dos Santos,,,
1570,178947,,Sóstenes Cavalcante,,,55,Sostenes Silva Cavalcante,Teólogo,,
